id,question,hint,a,b,c,correct,sources_links,sources_names,picture,notes
1,Kolik syrských uprchlíků je nyní v Turecku ve srovnání s Německem?,Počet syrských uprchlíků v Německu dosahuje 670 000,V Německu je jich třikrát více,V Turecku je jich třikrát více,Je to asi stejné,b,"http://m.abendblatt.de/politik/ausland/article205638663/Darum-sind-so-viele-syrische-Fluechtlinge-gebildet.html, http://data.unhcr.org/syrianrefugees/regional.php","Abendblatt.de, UN Refugee Agency",,případně lepší zdroj na to Německo
2,Která země v Evropě má největší muslimskou populaci?,V této zemi žije asi 16 milionů muslimů,Německo,Rusko,Francie,b,http://www.pewforum.org/2011/01/27/future-of-the-global-muslim-population-regional-europe/,Pew Forum,,
3,Jaký je mediánový věk v Sýrii?,Polovina populace je mladší než mediánový věk. V ČR je to 41 let,24,34,44,a,"""http://www.gapminder.org/world/#$majorMode=chart$is%3Bshi=t%3Bly=2003%3Blb=f%3Bil=t%3Bfs=11%3Bal=30%3Bstl=t%3Bst=t%3Bnsl=t%3Bse=t$wst%3Btts=C$ts%3Bsp=5.59290322580644%3Bti=2015$zpv%3Bv=0$inc_x%3Bmmid=XCOORDS%3Biid=tH113JLeGr5DhWgtqN2FxWg%3Bby=ind$inc_y%3Bmmid=YCOORDS%3Biid=phAwcNAVuyj2tPLxKvvnNPA%3Bby=ind$inc_s%3BuniValue=8.21%3Biid=phAwcNAVuyj0XOoBL_n5tAQ%3Bby=ind$inc_c%3BuniValue=255%3Bgid=CATID0%3Bby=grp$map_x%3Bscale=lin%3BdataMin=14%3BdataMax=56$map_y%3Bscale=lin%3BdataMin=23%3BdataMax=86$map_s%3Bsma=49%3Bsmi=2.65$cd%3Bbd=0$inds=i220_t002015,,,,%3Bi57_t002015,,,""",Gapminder,,
4,Jaká část populace Německa jsou muslimové?,,1 ze 16 lidí,1 z 8 lidí,1 ze 4 lidí,a,http://www.pewforum.org/2011/01/27/future-of-the-global-muslim-population-regional-europe/,Pew Forum,,
5,Kolik obětí všech ozbrojených konfliktů na světe v roce 2014 připadá na Irák a Sýrii?,,1 z 8 obětí,1 ze 4 obětí,Každá druhá oběť,c,https://projects21.files.wordpress.com/2015/03/ps21-conflict-trends.pdf,Project for the Study of the 21st Century,,
6,Umíralo v Iráku více civilistů násilnou smrtí během americké vojenské přítomnosti (2003-2011) nebo po ní?,Porovnáváme průměrný počet násilných smrtí civilistů za měsíc,Více umíralo během americké přítomnosti,Více umírá po americkém stažení,Je to asi stejné,c,https://www.iraqbodycount.org/database/,Iraq Body Count Project,,
7,Kolik uprchlíků přijme ČR na základě evropských kvót?,Jedná se o kvóty schválené v září 2015,průměrně 4 na okres,průměrně 44 na okres,průměrně 4 444 na okres,b,http://www.rozhlas.cz/zpravy/evropskaunie/_zprava/1535822,Český rozhlas,,
8,Jaká část Syřanů utekla do Evropy během občanské války (od 2011) z celé populace Sýrie?,,1 ze 16 Syřanů,1 z 8 Syřanů,1 ze 4 Syřanů,a,http://data.unhcr.org/syrianrefugees/regional.php,UN Refugee Agency,,
9,"Jaká část uprchlíků, kteří přišli do ČR v roce 2015, je z Iráku či Sýrie?",Jde o uprchlíky zaznamenané azylovými zařízeními,1 z 8 uprchlíků,1 ze 4 uprchlíků,Každý druhý uprchlík,a,http://www.suz.cz/media/54650/Prichody-do-AZ.jpg,Správa uprchlických zařízení,,
10,"Kolik je v ČR muslimů ve srovnání s počtem fanoušků facebookové stránky ""Islám v ČR nechceme""?",,Je tu 14-krát více muslimů,Je tu 14-krát více fanoušků,Je to asi stejné,b,"http://www.mvcr.cz/soubor/extrem07-pdf.aspx, https://www.facebook.com/ivcrn/?fref=ts","Ministerstvo vnitra ČR, Facebook",,
